Player,Player Bio,Player Grades,Draft Class,Link
Ra'Shede Hageman,"A raw, converted tight end with a basketball background, Hageman is a big, athletic, finesse three-technique with intriguing dimensions and movement skills who fits best in an aggressive, one-gap scheme where he could fire into gaps. Will probably be restricted to nickel pass-rush duty initially until the game slows down for him, but has impact potential if he ever figures it out. Is still maturing, having endured a harrowing childhood to get to where he is today, and would be best served landing in a structured environment with veteran mentorship. Classic boom-or-bust prospect.",6.7,2014,https://www.nfl.com/prospects/ra-shede-hageman/32004841-4715-2196-45d9-cf4f935c3ee8
Carlos Hyde,"A big, strong, powerful, NFL feature back who carried the Buckeyes' offense as a senior and proved he can be a workhorse. Solid all-around, chunk runner well-built for the physicality of the AFC North.",6.7,2014,https://www.nfl.com/prospects/carlos-hyde/32004859-4440-2541-ab5b-a4d6828a3fe3
Demarcus Lawrence,"A loose, explosive, long-limbed athlete, Lawrence consistently pressurizes the edge and harasses quarterbacks. His pass-rushing ability rates among the best in this year’s class, and he holds mass appeal. Lacks ideal stoutness at the point of attack, but could thrive as a 4-3 right end or 3-4 rush linebacker, and should contribute readily on passing downs.",6.7,2014,https://www.nfl.com/prospects/demarcus-lawrence/32004c41-5728-2118-edab-498f27240b6f
Marqise Lee,"An extremely motivated, dynamic, playmaking receiver, Lee's junior season was plagued by shoulder, knee and leg injuries and a revolving door at head coach, where he cycled through three. Showed all the traits desired in a No. 1 receiver early in his career and has overcome a lot of adversity in his life to get to this point.",6.7,2014,https://www.nfl.com/prospects/marqise-lee/32004c45-4546-6282-baae-dd48c42a2f01
Taylor Lewan,"An experienced, finesse left tackle with the length, agility and temperament to hold down a starting job for a long time. Is nuanced in pass protection and would fit best in a slide-lateral movement, bucket-stepping, zone-based blocking scheme. Similar in mold to Patriots 2011 17th overall selection Nate Solder.",6.7,2014,https://www.nfl.com/prospects/taylor-lewan/32004c45-5700-2883-b622-ba38489a4e2c
Calvin Pryor,"A big, physical, hammering run defender brings an enforcer mentality to the box and an intimidating, punishing presence to the back end. Is arguably the most violent hitter in this year's draft class and should make his presence felt readily in the pros.",6.7,2014,https://www.nfl.com/prospects/calvin-pryor/32005052-5943-2541-3b2b-d56a7e7e55ce
Bradley Roby,"Smallish, quick-twitch, speedy, physical cornerback with an intriguing combination of urgent athleticism, ball skills, tackling ability and scheme versatility. Appeals to zone and man teams, should be able to contribute readily as nickel slot defender and special-teams contributor and has a ceiling as a No. 2.",6.7,2014,https://www.nfl.com/prospects/bradley-roby/3200524f-4280-5749-9652-a615a0a1a70a
Ryan Shazier,"The Big Ten's leading tackler, Shazier flies around the field and his unique athletic ability stands out. Offers a tremendous combination of speed, tackling and coverage skills to become a playmaker as a run-and-hit 4-3 Will or perhaps a 3-4 weakside 'backer if protected by a block-occupying nose tackle. Value is increased by the fact that he will not have to come off the field.",6.7,2014,https://www.nfl.com/prospects/ryan-shazier/32005348-4182-2597-c630-4a35458d1ebc
Davante Adams,"A long-limbed, sure-handed possession receiver with starter-caliber, positional traits. Lacks top-end speed and strength. As a 21-year-old, third-year sophomore entering the draft early, is still growing into his body and developing core strength. A poor man's Michael Crabtree, Adams possesses very intriguing upside to be groomed.",6.4,2014,https://www.nfl.com/prospects/davante-adams/32004144-4121-8591-4d26-4c0ac739af41
Odell Beckham Jr.,"Talented, competitive, productive, inconsistent college split end who projects as a flanker or slot receiver in the pros, where a creative offensive coordinator can take advantage of his run-after-catch skills. Could be a productive No. 3 option with added value as a kick returner.",6.4,2014,https://www.nfl.com/prospects/odell-beckham-jr/32004245-4357-3252-264b-1da3e93d2745
Darqueze Dennard,"Big, strong, athletic, instinctive press-man corner who elevated his game as a senior. Is deceptively fast and has the desirable size to match up with big receivers.",6.4,2014,https://www.nfl.com/prospects/darqueze-dennard/32004445-4e09-5585-b09c-1ac0b8a3689f
Gabe Jackson,"Big, thickly built, relatively polished blocker who brings a steadying presence to the interior offensive line. Dependability and effectiveness blocking for pass and run combined with sterling intangibles, including football intelligence, make him capable of starting as a rookie and holding down a position for years to come.",6.4,2014,https://www.nfl.com/prospects/gabe-jackson/32004a41-4317-8303-e9e6-8ce1a32211aa
Johnny Manziel,"A very unique, run-around, ad-lib, sandlot-style quarterback who consistently won games playing a brand of fast-paced, jailbreak football that often goes off script and can be difficult both to game plan with and against. Is most comfortable on the move outside the pocket where he can find open throwing lanes and see the field and will command mush rush and extra spy defenders. Has defied the odds and proven to be a great college-system quarterback, but still must prove he is willing to work to be great, adjust his hard-partying, Hollywood lifestyle and be able to inspire his teammates by more than his playmaking ability. Overall character, leadership ability and work habits will define his NFL career. Rare competitiveness and third-down efficiency could carry him a long way, yet he will be challenged to avoid a Ryan Leaf-like, crash-and-burn scenario if he does not settle down and mature. A high-risk, high-reward pick, Manziel stands to benefit from entering the NFL at a time when moving pockets are trending.",6.4,2014,https://www.nfl.com/prospects/johnny-manziel/32004d41-4e79-4607-5b0c-d1ab80db11cf
Zack Martin,"Athletic, smart, competitive, dependable college left tackle whose length dictates a move inside, where he has plug-and-play ability in a zone-blocking scheme. One of the cleanest prospects in this year’s draft.",6.4,2014,https://www.nfl.com/prospects/zack-martin/32004d41-5277-1661-22a7-85637246c769
Louis Nix,"Despite standing to benefit from a more dominant senior season in South Bend, Nix, who already graduated, opted to forgo his final year of eligibility in order to provide for 13 siblings. He does not enter the NFL with momentum, having coped with knee tendinitis before season-ending surgery to repair a torn left meniscus, and too often his gregarious personality and media hype overshadowed his performance. However, if the massive interior defender taps into his power more consistently, Nix has ample mass, strength and athleticism to anchor a ""30"" front as a space-eating, block-occupying run stuffer.",6.4,2014,https://www.nfl.com/prospects/louis-nix/32004e49-5850-0878-bb1b-70ee345f65e5
Derek Carr,"Athletic, tough, instinctive, strong-armed, highly competitive quarterback who will impress in workouts, interviews and on the board. Elevated the Fresno State program and profiles like a gunslinger, though he’d be better served in the long run honing his game-management skills. Will be a starter sooner rather than later and the degree to which he’s able to make those around him better will determine his ceiling.",6.3,2014,https://www.nfl.com/prospects/derek-carr/32004341-5235-8797-3b9a-0d2711c0bc27
Brandin Cooks,"Short, speedy, nifty-footed receiver who was unaffected by the departure of Steelers 2013 third-rounder Markus Wheaton, establishing himself as a playmaker in his own right by leading the nation with 133 yards per contest as a junior. Projects as a useful slot receiver with run-after-catch ability and some utility as an outside receiver.",6.3,2014,https://www.nfl.com/prospects/brandin-cooks/3200434f-4f29-9382-29e1-70020b0a09be
Jeremy Hill,"Big, thickly built, athletic slasher with an overinflated sense of his abilities and character red flags, which could cause some teams to shy away. Fits best in a downhill scheme and has potential to be a 20-carry back in the NFL, but must run to his size more consistently and prove his unstable behavior is a thing of the past.",6.3,2014,https://www.nfl.com/prospects/jeremy-hill/32004849-4c40-7410-a042-2e41fafcc5fc
Donte Moncrief,"Big, physically gifted “X” receiver with deep speed, “above-the-rim” potential and playmaking ability. Has a ceiling as a No. 1 or No. 2 in a vertical passing offense, and his best football is in front him. Likely to elevate his stock at the combine and in workouts.",6.3,2014,https://www.nfl.com/prospects/donte-moncrief/32004d4f-4e11-7004-12bd-2d2a3d30b214
Ka'Deem Carey,"Highly productive, hard-charging slasher who runs more competitively than he does powerfully and picks up yardage in chunks. Has some first-round traits and is one of the most instinctive runners in this year's draft class, though his stock could be affected by off-the-field troubles.",6.2,2014,https://www.nfl.com/prospects/ka-deem-carey/32004341-5208-5888-3de8-1d9f4ab88ea4
Kony Ealy,"Big, athletic, ascending, pass-rush talent with the size, burst and flexibility to pressurize the edge as a right defensive end. Is not a finished product, particularly as a run defender, but should only become more disruptive as his strength, technique and savvy catch up with his natural physical ability. Could also draw looks as a 3-4 rush linebacker.",6.2,2014,https://www.nfl.com/prospects/kony-ealy/32004541-4c78-4006-51d7-478c2f1eef93
Marqueston Huff,"Fast, rangy, tough, loquacious defensive back who was miscast as a safety in his senior season, but projects best as a cornerback in the pros where his explosiveness and physicality will appeal to a wide range of teams. Should contribute readily on special teams and has eventual starter potential. Played his best football early in the season and tapered off late in the year.",6.2,2014,https://www.nfl.com/prospects/marqueston-huff/32004855-4621-8767-88ab-bd2d465401a4
Ja'Wuan James,"Big, strong, heavy pass protector with good balance, anchor strength and hand use to handle power and speed. Does not affect the run game the same way and almost appears more destined for the left side in the pros. Has instant-starter potential.",6.2,2014,https://www.nfl.com/prospects/ja-wuan-james/32004a41-4d21-8029-cd5c-4a092b767472
DaQuan Jones,"Big, strong-bodied interior force who shed weight and improved his stamina as a senior, displaying NFL-caliber physicality in the trenches. Has been inconsistent in the past, but if the light has come on, Jones' combination of size, power and movement enables him to play as a 4-3 one-technique or 3-4 five-technique.",6.2,2014,https://www.nfl.com/prospects/daquan-jones/32004a4f-4e20-0565-dbce-63cc86919383
Cyrus Kouandjio,"Massive, long-limbed, inconsistent, overhyped college left tackle whose sheer dimensions, raw tools and high ceiling are far more appealing than his snap-to-snap performance at this stage of his development. Has enough length and anchor strength to survive on the left side, though he will never be a dancing bear, and he projects more ideally as a bulldozing right tackle in a power scheme.",6.2,2014,https://www.nfl.com/prospects/cyrus-kouandjio/32004b4f-5505-9326-dbee-d24f37f74e65
Tre Mason,"The SEC Player of the Year, Mason is a compactly built, nifty-footed runner with a balanced skill set to merit 20 touches per game at the next level. Fits in multiple schemes and has the chops to make an impact as a rookie.",6.2,2014,https://www.nfl.com/prospects/tre-mason/32004d41-5326-9896-60c2-fcddef859aa4
AJ McCarron,"An efficient game-managing quarterback who has shown he can carry an offense at times throughout his career, but more often is dependent on a terrific supporting cast. Grades out most highly for his intangibles and decision-making, knowing when and where to go with the ball, and could earn an NFL starting job.",6.2,2014,https://www.nfl.com/prospects/aj-mccarron/32004d43-4317-6481-14f6-641e3cdc7a9a
Dan McCullers,"A big-bodied, short-area plugger with some underachiever traits, McCullers has raw tools that could become special if he learns to harness the innate strength in his body and pairs with a DL coach who can refine his mechanics.",6.2,2014,https://www.nfl.com/prospects/dan-mccullers/32004d43-4373-2916-fca8-0330e1253e34
Trent Murphy,"As a base end in an even front or a LOLB in an odd front, Murphy's instincts, motor and toughness are what define his success and could allow him to eventually become a double-digit sack producer in the pros. Will require a few years to adapt to the speed of the NFL game.",6.2,2014,https://www.nfl.com/prospects/trent-murphy/32004d55-5252-4597-e8ee-aa4d84c7fcc6
Troy Niklas,"A converted DE/OLB who emerged from the shadow of Bengals 2013 first-rounder Tyler Eifert, Niklas is the latest in a line of NFL tight ends produced by Notre Dame. He boasts an intriguing combination of size, athleticism, receiving ability and blocking ability to develop into a bona fide, balanced, No. 1 tight end. Has played tight end for just two years and arrow is pointing up.",6.2,2014,https://www.nfl.com/prospects/troy-niklas/32004e49-4b37-2127-f3d7-a2044f8a6e05
Rashaad Reynolds,"Good functional football player who capped his college career with a game-changing MVP performance in the Hawaii Bowl, where he returned two fumble recoveries for touchdowns. Has starter-quality physical traits and the positional skill to contribute readily in the pros. An underrated clingy cover man with a natural feel for the game.",6.2,2014,https://www.nfl.com/prospects/rashaad-reynolds/32005245-5959-4534-d16c-78cedbe060c6
Allen Robinson,"The Big Ten's leading receiver the last two seasons, Robinson is a big, fluid, outside receiver with a nice combination of ""above-the-rim"" prowess and run-after-catch ability. Offers possession skills, playmaking ability and red-zone utility to develop into a solid No. 2 option.",6.2,2014,https://www.nfl.com/prospects/allen-robinson/3200524f-4236-5982-45ce-8ca18ca03af8
Ed Stinson,"Long-framed, long-armed, prototype five-technique capable of kicking inside and manning the nose. Very impressive strength and power. Can play anywhere along a ""30"" front. An underrated cog in a defense, Stinson could play a long time in the league and may never receive his due outside the building.",6.2,2014,https://www.nfl.com/prospects/ed-stinson/32005354-4963-8331-4230-6b05ad582a12
Xavier Su'a-Filo,"Does not look the part and was miscast when forced to play left tackle for the Bruins, but Su’a-Filo is more effective than he is pretty. Projects best at left guard, where he has starter-caliber ability in a power scheme, though he is athletic enough to appeal to zone teams, too.",6.2,2014,https://www.nfl.com/prospects/xavier-su-a-filo/32005355-4120-7644-28c1-ef0d19aed7e8
Jason Verrett,"A tough, scrappy, undersized nickel back with potential to emerge as a No. 2 corner, Verrett's body is not ideally built to withstand the rigors of a starting job. An outstanding football player in the mold of feisty Titans 2006 seventh-round pick Cortland Finnegan.",6.2,2014,https://www.nfl.com/prospects/jason-verrett/32005645-5262-5072-52a7-9f712727c35f
Jeremiah Attaochu,"Georgia Tech’s all-time sack leader, Attaochu is a Nigerian-born, young, heady, disruptive, relentless edge rusher who profiles as 3-4 right outside linebacker. Should interview well, and has the look of a trustworthy, long-term starter given his pass-rush ability, motor and makeup.",6.1,2014,https://www.nfl.com/prospects/jeremiah-attaochu/32004154-5429-0361-f785-1f0faf0b58b4
Joel Bitonio,"An undersized college left tackle who projects best to the inside in the pros. Displays the tenacity, leg drive and mean streak that is highly coveted by OL coaches and could drive up his draft status. Could require some initial patience moving inside, yet possesses the skill set, intelligence and desire to successfully convert.",6.1,2014,https://www.nfl.com/prospects/joel-bitonio/32004249-5431-6411-4772-9ef0395824e9
Chris Borland,"Short, active, athletic, instinctive tackling machine who will have to overcome physical limitations to establish himself as a dependable, long-term starter, though he has immediate special-teams ability and the makeup to push for a more prominent role.",6.1,2014,https://www.nfl.com/prospects/chris-borland/3200424f-5243-2476-4dd1-b4d4f3131cc8
Bashaud Breeland,"Very lean, rangy, athletic cover man who shows up well in run support and has good length to match up with big receivers. Will require technique refinement, but has an aggressive playing temperament that will appeal to coaches and moldable tools to develop.",6.1,2014,https://www.nfl.com/prospects/bashaud-breeland/32004252-4518-3598-5e93-309c496e888d
Ego Ferguson,"Athletic, raw, developmental three-technique with clear upside, though he is inexperienced, aimless and unrefined at this stage of his development. Needs more glass in his diet and simply does not impact games the way he should. Is likely to test well and be drafted higher than his performance dictates in the hopes a defensive line coach can tap into his potential.",6.1,2014,https://www.nfl.com/prospects/ego-ferguson/32004645-5208-8440-8d4d-af3dd9dd20a7
C.J. Fiedorowicz,"Big-framed, linear and dependable, Fiedorowicz looks the part and has balanced skills to be a legitimate “Y” tight end in the pros. Is an asset as a competitive blocker and as a sure-handed receiver. Will be in demand in a relatively thin tight ends class.",6.1,2014,https://www.nfl.com/prospects/c-j-fiedorowicz/32004649-4507-7391-241a-605c0e2d82d4
Devonta Freeman,"Compactly built, downhill slasher with the agility and balanced skill set to emerge as a workhorse back. Earned the top assignment in a very talented backfield and has a similar build, running style and all-around utility as San Francisco 49ers 2005 third-round pick Frank Gore. Could prove to be a better pro than college player.",6.1,2014,https://www.nfl.com/prospects/devonta-freeman/32004652-4517-4508-d090-1405fbc174e5
Seantrel Henderson,"Massive, strong-bodied, long-armed specimen with the physical gifts to be a dominant NFL right tackle in a power or slide-protection blocking scheme. However, he failed to live up to expectations in Coral Cables thanks to a tumultuous career marred by tragedy, suspensions, injuries and benchings. High-risk, high-reward, high-maintenance wild card who must convince decision-makers he’s worth gambling on. Interview process will go a long way in determining his trustworthiness.",6.1,2014,https://www.nfl.com/prospects/seantrel-henderson/32004845-4e13-5162-f37d-41eb0993d9a5
Timmy Jernigan,"Slightly undersized, stoutly built, country-strong run stopper with the ability to drop anchor inside an odd front and develop into a solid, 3-4 movement nose tackle. Strength is his calling card despite his relatively modest size.",6.1,2014,https://www.nfl.com/prospects/timmy-jernigan/32004a45-5246-5471-bd34-7727794e868a
Anthony Johnson,"Big, athletic, overhyped defensive tackle who shows in flashes, but leaves evaluators wanting more and would have benefited from a more dominant junior season. Fits best in an even front, though he’s not instant coffee, as his tweener skill set is too unrefined to project absolutely as a nose or three-technique. Will test well but draw varied opinions, and has the look of a boom-or-bust prospect.",6.1,2014,https://www.nfl.com/prospects/anthony-johnson/32004a4f-4805-7828-1683-d3a7dc47a05c
Jarvis Landry,"Polished, quarterback-friendly, sure-handed possession receiver with a flare for the highlight-reel catch. Could be an effective No. 3 option, capable of lining up as a ""Z"" or slot, working short-to-intermediate and beating zone coverage.",6.1,2014,https://www.nfl.com/prospects/jarvis-landry/32004c41-4e16-3029-78da-4985470f8aab
Craig Loston,"A big, hard-hitting, vocal secondary leader who showed better as a junior lining up along a more talented secondary next to Eric Reid than he did as a senior. However, still possesses starter-caliber traits as an interchangeable safety most ideally suited playing in the box.",6.1,2014,https://www.nfl.com/prospects/craig-loston/32004c4f-5370-9456-b046-60f476b44b6d
Marcus Martin,"Outstanding-sized, barrel-chested finesse pivot with center-guard versatility. Grades out highly as a position-sustain blocker and possesses untappped strength and power in his body. Lacks desirable grit, toughness and finishing strength to maximize his talent and is stronger than he plays. Has instant-starter potential as a center or right guard, but could stand to benefit from some time to be groomed.",6.1,2014,https://www.nfl.com/prospects/marcus-martin/32004d41-5267-5292-9a58-9b57306ad5eb
Jordan Matthews,"A relative of Jerry Rice, Matthews departs Vanderbilt as the most productive pass catcher in SEC history. He’s a tall, narrow-framed, West Coast possession receiver with soft hands, a professional approach and the versatility to line up inside or outside and become a solid No. 2 or No. 3. High-floor prospect whose timed speed could dictate his ultimate draft value.",6.1,2014,https://www.nfl.com/prospects/jordan-matthews/32004d41-5456-9663-2598-657f4f0af257
Jack Mewhort,"Thickly built, physical, highly competitive lineman who manned left tackle competently in college, but is better suited for the right side in the pros. Has starter-caliber strength, athleticism and technique supplemented with desirable intangibles. Versatility to play guard or left tackle in a pinch adds to value.",6.1,2014,https://www.nfl.com/prospects/jack-mewhort/32004d45-5726-6972-353e-d91e0b86a793
Austin Seferian-Jenkins,"An intriguing height-weight-speed prospect, Seferian-Jenkins has all the tools to be a legitimate No. 1 tight end in the NFL, though he has to maintain focus and consistency and continue improving as a blocker.",6.1,2014,https://www.nfl.com/prospects/austin-seferian-jenkins/32005345-4617-7981-4435-ee8f0a8353f1
Will Sutton,"Bulked up and added a lot of bad weight as a senior, negating his initial burst and diminishing his production, yet still showed good quickness off the ball. Played at a more natural weight and was noticeably a step quicker in 2012. Fits best as an under tackle in an even front and would be best playing close to 290 pounds.",6.1,2014,https://www.nfl.com/prospects/will-sutton/32005355-5476-8626-d59b-c17813288121
Travis Swanson,"Experienced, dependable pivot who lacks starter-caliber power and athleticism. Lack of versatility hurts his chances, and he will have to survive on smarts, leadership and competitiveness.",6.1,2014,https://www.nfl.com/prospects/travis-swanson/32005357-4156-3470-3ca9-40e30870bfa0
John Urschel,"Underpowered, quick-footed, scrappy,  zone blocker with the smarts, movement skill and competitive zeal to emerge as a very efficient pro. Displays the quickness highly desired at the pivot and might prove to be best at center.",6.1,2014,https://www.nfl.com/prospects/john-urschel/32005552-5311-1903-c8c2-027523bf59a0
Kyle Van Noy,"Good-sized, athletic, smooth-moving stand-up player who projects best as a 3-4 right outside linebacker, but could also warrant consideration from 4-3 teams as a Will or Sam. Is not without flaws, but has unique ability to play up the field, laterally or in reverse.",6.1,2014,https://www.nfl.com/prospects/kyle-van-noy/32005641-4e65-6604-35eb-7909415e4155
Andre Williams,"Very strong, stocky, powerful runner with the instincts, contact balance and toughness to carry a heavy workload. Really emerged as a senior, when he led the nation in rushing, and proved worthy of a starting role.",6.1,2014,https://www.nfl.com/prospects/andre-williams/32005749-4c14-2264-4861-9de23cdd2565
Jace Amaro,"Highly productive, finesse, detached tight end who racked up 106 receptions for 1,352 yards (12.8) and seven TDs as a junior when he was essentially an inside receiver for the Red Raiders. Will have to play a similar role in the pros, as he is not equipped to survive in-line.",5.9,2014,https://www.nfl.com/prospects/jace-amaro/3200414d-4156-3609-a039-2bbcc5050de2
Dri Archer,Explosive playmaker lacking requisite size for the pro game. Was slowed by an ankle injury early and did not return to junior form until late in senior season. Can make an immediate impact in the return game and add value as a multipurpose threat. Long-term durability is greatest concern given tiny frame.,5.9,2014,https://www.nfl.com/prospects/dri-archer/32004152-4342-5790-eb07-e3abf1efc087
Lamin Barrow,"Undersized, athletic, run-around see-and-go reactor who needs to be protected to be effective. Projects as a Will linebacker, nickel defender and special-teams contributor.",5.9,2014,https://www.nfl.com/prospects/lamin-barrow/32004241-5266-2715-2f88-0b885b23c9ef
Tajh Boyd,"Difficult to prepare for and difficult to block, Boyd is a short, athletic, strong-armed quarterback with Wildcat value and starter potential in a vertical-power system, though he is the type you look to replace. The success of Russell Wilson likely helps Boyd’s cause, but he is not as polished and might be better suited as a backup.",5.9,2014,https://www.nfl.com/prospects/tajh-boyd/3200424f-5934-1422-c65d-b76b0aa076e4
Preston Brown,"Aggressive, high-collision 'Mike' linebacker best paired with a demanding position coach who will extract the most from him.",5.9,2014,https://www.nfl.com/prospects/preston-brown/32004252-4f58-1187-d466-8825dcb90986
T.J. Carrie,"Smoother-than-explosive, height-weight-speed prospect who will draw the attention of Cover-2 teams given his physicality, ball skills and tackling. Special-teams ability adds to value.",5.9,2014,https://www.nfl.com/prospects/t-j-carrie/32004341-5247-0432-a48c-dc0e90b552e6
Ross Cockrell,"Good-sized, smart, ballhawking zone corner who plays fast and could bring immediate value as a nickel back and contribute on special teams.",5.9,2014,https://www.nfl.com/prospects/ross-cockrell/3200434f-4349-4116-30ad-e539fdf5fe10
Deandre Coleman,"A very big, strong, two-gapping plugger ideally suited to stack the corner of an odd front. Will make a living digging his feet in the dirt and defending the run.",5.9,2014,https://www.nfl.com/prospects/deandre-coleman/3200434f-4c24-0969-4fda-694c1b2c075b
Brandon Coleman,"Big, tall, talented, West Coast receiver whose sheer size enables him to be effective outside the numbers, on slant routes and in the red zone, though inconsistency has prevented him from reaching his potential. Has the look of a No. 2 receiver, but his production fell off as a junior (played through a knee injury). He could have used another season to polish his skills.",5.9,2014,https://www.nfl.com/prospects/brandon-coleman/3200434f-4c22-2062-6e9b-1b84ac3daffd
Scott Crichton,"Strong, athletic, raw defensive end prospect who would have been better served returning for his senior season. Despite being rough around the edges at this stage of his development, Crichton shows in flashes and has power potential as a 4-3 defensive end. Could require patience.",5.9,2014,https://www.nfl.com/prospects/scott-crichton/32004352-4912-5056-8c54-a2aae8b02afd
